fltplt,fltpltnm,address,add_code
A002,고령정수장(광역),경상북도 고령군 다산면 노곡리 746,47830340
A005,고양정수장,경기도 고양시 일산동구 산황동  300번지,41285540
A007,공주정수장,충청남도 공주시 월송동  산42-7,44150590
A013,구천정수장,경상남도 거제시 삼거동  529-4,48310590
A014,군산정수장,전북 군산시 내흥동 산70-3,45130670
A015,금산정수장,충청남도 금산군 남일면  신정리 796-6,44710350
A018,대불정수장,전라남도 무안군 몽탄면 청용리 산88-4,46840320
A020,덕소정수장,경기도 남양주시 와부읍 도곡리 산102-1,41360250
A021,덕정정수장,전라남도 장흥군 부산면 부춘리 산42,46800360
A023,동화정수장,전라북도 장수군 번암면 노단리 369,45740320
A026,밀양정수장,경상남도 밀양시 산외면 다죽리 402,48270330
A027,반송정수장,경상남도 창원시 반림동  25번지,48123510
A028,반월정수장,경기도 안산시 상록구 부곡동  산41-9,41271570
A029,별량정수장,전라남도 순천시 별량면 봉림리 267,46150390
A030,보령정수장,충청남도 보령시 웅천읍 평리 517-2,44180250
A033,부안정수장,전라북도 부안군 변산면 중계리 산537-1,45800360
A034,사천정수장,경상남도 사천시 축동면 배춘리 18번지,48240340
A036,산성정수장,전라북도 정읍시 옹동면 산성리 529-6,45180410
A037,석성정수장,충청남도 부여군 석성면 정각리 166,44760440
A038,성남정수장,경기도 성남시 수정구 사송동  산88-5,41131650
A039,송전정수장,강원도 횡성군 횡성읍 송전리 5-1,42730250
A040,수지정수장,경기도 용인시 수지구 상현동 286번지,41465580
A041,시흥정수장,경기도 안산시 단원구 선부2동  1169,41273590
A042,아산정수장,충청남도 아산시 영인면 신현리 산13-6,44200370
A045,양산정수장,경상남도 양산시 상북면 상삼리 213,48330330
A047,연초정수장,경상남도 거제시 연초면 덕치리 107111,48310370
A050,온산정수장,울산광역시 울주군 온산읍 학남리 산37-1,31710250
A051,와부정수장,경기도 남양주시 와부읍 덕소7리 산48,41360250
A055,운문정수장,경상북도 청도군 운문면 대천리 1410,47820350
A056,일산정수장,경기도 고양시 덕양구 대장동  223-1,41281610
A057,자인정수장,경상북도 경산시 자인면 울옥리 산14-1번지,47290330
A060,천안정수장,충청남도 천안시 풍세면 미죽리 산12,44131310
A061,청주정수장,충청북도 청주시 흥덕구 성화동  286,43112590
A063,충주정수장,충청북도 충주시 용탄동  305,43130640
A065,평림정수장,전라남도 장성군 삼계면 수옥리 861-21,46880350
A067,학야정수장,경상북도 포항시 북구 기계면 학야리 730번지,47113340
A090,화성정수장,경기도 화성시 매송면 천천리 18,41590310
A072,황지정수장,강원도 태백시 황연동  산174-2,42190525
